S/SP,Sex,Group,Group size,Bee ID,Colony ,Microbiome,Date of eclosion,Date 1st treatment ,Flight date,Age at flight (days),Mill ,Intertegular distance (mm) ,Weight,Sucrose consumed,Circuits ,Distance (m),Mean Speed,Flight Time (s),Flight Time (mins)
SP,F,15C2,2,C15S6,15,0,01/07/2019,01/07/2019,06/06/2019,5,6,4.745,0.1868,0.0000,1029,872.59,0.435370872,2004.249839,33.4042
SP,F,16C1,1,C16S4,16,0,01/07/2019,01/07/2019,06/06/2019,5,3,4.797,0.341,0.0000,946,802.21,0.570106533,1407.119465,23.4520
S,F,16E2,2,C16M4,16,1,01/07/2019,01/07/2019,06/06/2019,5,4,4.984,0.293,0.0187,146,123.81,0.766229807,161.5807672,2.6930
S,F,16F3,3,C16M6,16,1,01/07/2019,01/07/2019,06/06/2019,5,2,5.472,0.315,0.0000,661,560.53,0.434712107,1289.423486,21.4904
SP,F,15B2,2,C15S3,15,0,01/07/2019,01/07/2019,06/06/2019,5,1,5.477,0.5179,0.0000,11,9.33,0.767329787,12.15644193,0.2026
SP,F,15B2,2,C15S4,15,0,01/07/2019,01/07/2019,06/06/2019,5,2,5.33,0.301,0.0000,53,44.94,0.690264674,65.11125613,1.0852
SP,F,15C2,2,C15S5,15,0,01/07/2019,01/07/2019,06/06/2019,5,5,4.784,0.359,0.0000,2,1.70,0.512926164,3.306518793,0.0551
S,F,16E2,2,C16M3,16,1,01/07/2019,01/07/2019,06/06/2019,5,3,4.444,0.321,0.0046,39,33.07,0.405322327,81.59432078,1.3599
S,F,16F3,3,C16M5,16,1,01/07/2019,01/07/2019,06/06/2019,5,1,4.708,0.192,0.0032,34,28.83,0.99864379,28.87115526,0.4812
SP,F,16D3,3,C16S7,16,0,01/07/2019,01/07/2019,06/06/2019,5,6,3.937,0.314,0.0023,1,0.85,0.389403445,2.177690029,0.0363
SP,F,16D3,3,C16S5,16,0,01/07/2019,01/07/2019,06/06/2019,5,4,5.073,0.188,0.0000,6,5.09,0.512793989,9.92211318,0.1654
SP,F,16D3,3,C16S6,16,0,01/07/2019,01/07/2019,06/06/2019,5,5,4.402,0.137,0.0149,0,0.00,0.000,0.000,0.0000
SP,F,15A2,2,C15S1,15,0,28/06/2019,28/06/2019,03/07/2019,5,1,5.232,0.219,0.0000,504,427.39,0.625781257,682.9734759,11.3829
SP,F,16A3,3,C16S3,16,0,28/06/2019,28/06/2019,03/07/2019,5,3,5.519,0.1794,0.0348,155,131.44,1.177996248,111.5793028,1.8597
S,F,13A3,3,C13M1,13,1,27/06/2019,27/06/2019,03/07/2019,6,1,5.003,0.2177,0.0000,38,32.22,1.294822187,24.88681483,0.4148
S,F,13A3,3,C13M2,13,1,27/06/2019,27/06/2019,03/07/2019,6,2,5.815,0.1812,0.0152,4,3.39,0.421653491,8.044520139,0.1341
SP,F,13C2,2,C13S2,13,0,28/06/2019,28/06/2019,03/07/2019,5,4,5.227,0.28,0.0047,52,44.10,0.599341851,73.57403779,1.2262
SP,F,13C2,2,C13S3,13,0,28/06/2019,28/06/2019,03/07/2019,5,5,5.019,0.335,0.0000,3,2.54,0.905663294,2.808990955,0.0468
S,F,13A3,3,C13M3,13,1,27/06/2019,27/06/2019,03/07/2019,6,6,4.465,0.245,0.0000,0,0.00,0.000,0.000,0.0000
S,F,16B2,2,C16M1,16,1,28/06/2019,28/06/2019,03/07/2019,5,2,4.964,0.293,0.0023,28,23.74,0.799012726,29.71667314,0.4953
S,F,16B2,2,C16M2,16,1,28/06/2019,28/06/2019,03/07/2019,5,3,4.368,0.2007,0.0000,22,18.66,0.830959663,22.45114994,0.3742
SP,F,16A3,3,C16S1,16,0,28/06/2019,28/06/2019,03/07/2019,5,4,4.569,0.199,0.0000,32,27.14,0.957627929,28.33668399,0.4723
SP,F,16A3,3,C16S2,16,0,28/06/2019,28/06/2019,03/07/2019,5,5,4.711,0.184,0.0046,63,53.42,0.671721037,79.53301597,1.3256
SP,F,16H3,3,C16S10,16,0,01/07/2019,02/07/2019,07/07/2019,6,1,4.86,0.341,0.0000,1919,1627.31,0.702846768,2315.315477,38.5886
SP,F,16H3,3,C16S11,16,0,01/07/2019,02/07/2019,07/07/2019,6,2,5.711,0.32,0.0127,359,304.43,0.761230372,399.920985,6.6653
SP,F,16G2,2,C16S9,16,0,02/07/2019,02/07/2019,07/07/2019,5,3,4.954,0.283,0.003,389,329.87,0.347726682,948.653116,15.8109
S,M,12B2,2,C12M1,12,1,01/07/2019,02/07/2019,07/07/2019,6,1,5.648,0.237,0.0000,113,95.824,0.812461233,117.9428582,1.9657
S,F,12C3,3,C12M5,12,1,01/07/2019,02/07/2019,07/07/2019,6,5,4.998,0.468,0.0086,141,119.57,0.762581174,156.7937999,2.6132
S,F,16I2,2,C16M8,16,1,01/07/2019,02/07/2019,07/07/2019,6,6,4.306,0.278,0.0000,388,329.02,0.86424191,380.708221,6.3451
S,M,12B2,2,C12M2,12,1,01/07/2019,02/07/2019,07/07/2019,6,2,5.503,0.467,0.0000,20,16.960,0.525979854,32.24458098,0.5374
S,F,12C3,3,C12M3,12,1,01/07/2019,02/07/2019,07/07/2019,6,3,4.829,0.253,0.0157,13,11.02,0.42087669,26.19294501,0.4365
S,F,12C3,3,C12M4,12,1,01/07/2019,02/07/2019,07/07/2019,6,4,6.127,0.318,0.0000,9,7.63,0.863878271,8.834578037,0.1472
SP,F,12A2,2,C12S2,12,0,01/07/2019,02/07/2019,07/07/2019,6,5,4.409,0.375,0.0050,46,39.01,0.367929265,106.0203786,1.7670
S,F,14B3,3,C14M1,14,1,01/07/2019,02/07/2019,07/07/2019,6,4,4.679,0.521,0.0169,0,0.00,0.000,0.000,0.0000
S,F,14B3,3,C14M2,14,1,01/07/2019,02/07/2019,07/07/2019,6,5,5.312,0.184,0.0092,5,4.24,0.820901375,5.165054083,0.0861
S,F,14B3,3,C14M3,14,1,01/07/2019,02/07/2019,07/07/2019,6,6,4.448,0.013,0.0153,36,30.53,0.849645785,35.9302671,0.5988
SP,M,12A2,2,C12S1,12,0,01/07/2019,02/07/2019,07/07/2019,6,4,5.303,0.344,0.0000,79,66.992,0.951861784,70.37996602,1.1730
SP,F,14A1,1,C14S1,14,0,01/07/2019,02/07/2019,07/07/2019,6,3,5.339,0.466,0.0000,39,33.07,0.7264784,45.52372098,0.7587
S,F,16I2,2,C16M9 ,16,1,01/07/2019,02/07/2019,07/07/2019,6,1,5.288,0.416,0.0000,45,38.16,0.628980698,60.66958833,1.0112
SP,F,16G2,2,C16S8,16,0,02/07/2019,02/07/2019,07/07/2019,5,2,4.742,0.479,0.000,0,0.00,0.000,0.000,0.0000
SP,F,15C3,3,C15M1,15,1,03/07/2019,03/07/2019,08/07/2019,5,4,5.122,0.368,0.0000,157,133.14,0.876623475,151.8736422,2.5312
SP,F,15C3,3,C15M2,15,1,03/07/2019,03/07/2019,08/07/2019,5,5,5.004,0.464,0.0000,1110,941.28,0.478806498,1965.888107,32.7648
SP,F,12D1,1,C12S3,12,0,02/07/2019,03/07/2019,08/07/2019,6,4,5.073,0.338,0.0049,42,35.62,0.7744218,45.99044085,0.7665
SP,F,13E2,2,C13S4,13,0,02/07/2019,03/07/2019,08/07/2019,6,5,4.881,0.278,0.0000,0,0.00,0.000,0.000,0.0000
SP,F,13E2,2,C13S5,13,0,02/07/2019,03/07/2019,08/07/2019,6,6,5.128,0.286,0.0000,2,1.70,0.505112166,3.357670069,0.0560
SP,F,13F3,3,C13S6,13,0,03/07/2019,03/07/2019,08/07/2019,5,1,4.781,0.362,0.0000,3,2.54,0.932824538,2.727200985,0.0455
SP,F,13F3,3,C13S7,13,0,03/07/2019,03/07/2019,08/07/2019,5,2,4.832,0.234,0.0000,0,0.00,0.000,0.000,0.0000
SP,F,13F3,3,C13S8,13,0,03/07/2019,03/07/2019,08/07/2019,5,3,4.757,0.234,0.0000,0,0.00,0.000,0.000,0.0000
SP,F,14D2,2,C14S4,14,0,03/07/2019,03/07/2019,08/07/2019,5,6,4.826,0.237,0.0096,9,7.63,0.811072245,9.409765956,0.1568
SP,F,15C3,3,C15M3,15,1,03/07/2019,03/07/2019,08/07/2019,5,6,5.201,0.231,0.0027,28,23.74,0.545946305,43.49145651,0.7249
SP,F,15D2,2,C15M4,15,1,03/07/2019,03/07/2019,08/07/2019,5,3,5.126,0.266,0.0000,59,50.03,0.835045072,59.91532874,0.9986
SP,F,15D2,2,C15M5,15,1,03/07/2019,03/07/2019,08/07/2019,5,4,5.157,0.45,0.0085,62,52.58,1.02794611,51.14665008,0.8524
SP,F,13D2,2,C13M4,13,1,03/07/2019,04/07/2019,09/07/2019,6,4,5.512,0.529,0.0000,33,27.98,0.475103275,58.90087795,0.9817
SP,F,13D2,2,C13M5,13,1,03/07/2019,04/07/2019,09/07/2019,6,5,5.053,0.28,0.0000,28,23.74,0.604821172,39.25788498,0.6543
